INDUS,RM,PRICE
18.1,5.852,6.3
18.1,5.987,5.6
18.1,6.343,7.2
18.1,6.404,12.1
18.1,5.349,8.3
18.1,5.531,8.5
18.1,5.683,5.0
18.1,4.138,11.9
18.1,5.608,27.9
18.1,5.617,17.2
18.1,6.852,27.5
18.1,5.757,15.0
18.1,6.657,17.2
18.1,4.628,17.9
18.1,5.155,16.3
18.1,4.519,7.0
18.1,6.434,7.2
18.1,6.782,7.5
18.1,5.304,10.4
18.1,5.957,8.8
18.1,6.824,8.4
18.1,6.411,16.7
18.1,6.006,14.2
18.1,5.648,20.8
18.1,6.103,13.4
18.1,5.565,11.7
18.1,5.896,8.3
18.1,5.837,10.2
18.1,6.202,10.9
18.1,6.193,11.0
18.1,6.38,9.5
18.1,6.348,14.5
18.1,6.833,14.1
18.1,6.425,16.1
18.1,6.436,14.3
18.1,6.208,11.7
18.1,6.629,13.4
18.1,6.461,9.6
18.1,6.152,8.7
18.1,5.935,8.4
18.1,5.627,12.8
18.1,5.818,10.5
18.1,6.406,17.1
18.1,6.219,18.4
18.1,6.485,15.4
18.1,5.854,10.8
18.1,6.459,11.8
18.1,6.341,14.9
18.1,6.251,12.6
18.1,6.185,14.1
18.1,6.417,13.0
18.1,6.749,13.4
18.1,6.655,15.2
18.1,6.297,16.1
18.1,7.393,17.8
18.1,6.728,14.9
18.1,6.525,14.1
18.1,5.976,12.7
18.1,5.936,13.5
18.1,6.301,14.9
18.1,6.081,20.0
18.1,6.701,16.4
18.1,6.376,17.7
18.1,6.317,19.5
18.1,6.513,20.2
18.1,6.209,21.4
18.1,5.759,19.9
18.1,5.952,19.0
18.1,6.003,19.1
18.1,5.926,19.1
18.1,5.713,20.1
18.1,6.167,19.9
18.1,6.229,19.6
18.1,6.437,23.2
18.1,6.98,29.8
18.1,5.427,13.8
18.1,6.162,13.3
18.1,6.484,16.7
18.1,5.304,12.0
18.1,6.185,14.6
18.1,6.229,21.4
18.1,6.242,23.0
18.1,6.75,23.7
18.1,7.061,25.0
18.1,5.762,21.8
18.1,5.871,20.6
18.1,6.312,21.2
18.1,6.114,19.1
18.1,5.905,20.6
27.74,5.454,15.2
27.74,5.414,7.0
27.74,5.093,8.1
27.74,5.983,13.6
27.74,5.983,20.1
9.69,5.707,21.8
9.69,5.926,24.5
9.69,5.67,23.1
9.69,5.39,19.7
9.69,5.794,18.3
9.69,6.019,21.2
9.69,5.569,17.5
9.69,6.027,16.8
11.93,6.593,22.4
11.93,6.12,20.6
11.93,6.976,23.9
11.93,6.794,22.0
11.93,6.03,11.9
